contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250411C03200000,2025-03-24 18:28:35+00:00,3200.0,2553.01,2077.8,2100.6,0.0,0.0,,1,5.5673858532714835,True,REGULAR,USD
SPXW250411C04000000,2025-04-10 19:51:02+00:00,4000.0,1253.4,1280.2,1285.6,0.0,0.0,18.0,401,3.1502096440124507,True,REGULAR,USD
SPXW250411C04200000,2025-04-01 14:08:59+00:00,4200.0,1377.99,1076.6,1094.1,0.0,0.0,1.0,2,2.7711822712707526,True,REGULAR,USD
SPXW250411C04300000,2025-04-10 16:27:07+00:00,4300.0,832.1,979.4,1000.2,0.0,0.0,1.0,8,2.672915915374756,True,REGULAR,USD
SPXW250411C04400000,2025-04-10 19:03:27+00:00,4400.0,905.84,879.4,900.7,0.0,0.0,10.0,52,2.439121333847046,True,REGULAR,USD
SPXW250411C04500000,2025-04-10 19:05:05+00:00,4500.0,806.01,779.2,789.5,0.0,0.0,14.0,37,2.046391602783203,True,REGULAR,USD
SPXW250411C04600000,2025-04-10 19:26:02+00:00,4600.0,690.0,680.1,689.6,0.0,0.0,4.0,18,1.8329476126098632,True,REGULAR,USD
SPXW250411C04650000,2025-04-10 16:24:19+00:00,4650.0,504.95,629.4,639.7,0.0,0.0,1.0,6,1.7115492938232422,True,REGULAR,USD
SPXW250411C04700000,2025-04-10 19:08:48+00:00,4700.0,574.53,577.5,588.3,0.0,0.0,88.0,95,1.556703876647949,True,REGULAR,USD
SPXW250411C04750000,2025-04-10 19:10:05+00:00,4750.0,520.99,528.6,538.5,0.0,0.0,18.0,32,1.4606350210571288,True,REGULAR,USD
SPXW250411C04775000,2025-04-10 17:49:56+00:00,4775.0,474.22,503.8,513.7,0.0,0.0,1.0,6,1.4088774673461915,True,REGULAR,USD
SPXW250411C04800000,2025-04-11 05:05:16+00:00,4800.0,471.9,481.3,486.7,11.299988,2.453319,5.0,138,1.35779129699707,True,REGULAR,USD
SPXW250411C04825000,2025-04-10 13:32:59+00:00,4825.0,522.16,455.5,464.5,0.0,0.0,1.0,33,1.3223605659484863,True,REGULAR,USD
SPXW250411C04850000,2025-04-11 02:18:58+00:00,4850.0,371.2,431.9,437.3,68.48001,22.621567,1.0,128,1.2562598222351071,True,REGULAR,USD
SPXW250411C04860000,2025-04-10 17:27:10+00:00,4860.0,350.4,421.9,429.7,0.0,0.0,2.0,25,1.257572071533203,True,REGULAR,USD
SPXW250411C04870000,2025-04-10 15:04:20+00:00,4870.0,424.13,410.7,419.7,0.0,0.0,28.0,41,1.2222023753356932,True,REGULAR,USD
SPXW250411C04875000,2025-04-10 17:25:42+00:00,4875.0,328.69,407.9,416.8,0.0,0.0,2.0,47,1.2524451440429685,True,REGULAR,USD
SPXW250411C04900000,2025-04-11 05:50:29+00:00,4900.0,401.45,382.9,388.3,75.350006,23.106411,1.0,262,1.159855274963379,True,REGULAR,USD
SPXW250411C04925000,2025-04-10 19:55:11+00:00,4925.0,330.4,360.1,363.9,0.0,0.0,3.0,173,1.1264997288513185,True,REGULAR,USD
SPXW250411C04950000,2025-04-11 05:50:29+00:00,4950.0,353.15,334.4,339.8,73.72998,26.386793,1.0,423,1.06799782409668,True,REGULAR,USD
SPXW250411C04970000,2025-04-11 03:31:31+00:00,4970.0,313.93,316.7,320.5,-9.920013,-3.0631506,2.0,364,1.0445604412841798,True,REGULAR,USD
SPXW250411C04975000,2025-04-10 18:33:16+00:00,4975.0,341.24,311.9,315.8,0.0,0.0,3.0,193,1.0362597015380863,True,REGULAR,USD
SPXW250411C04980000,2025-04-10 13:39:36+00:00,4980.0,372.11,307.1,311.0,0.0,0.0,202.0,347,1.0271044738769533,True,REGULAR,USD
SPXW250411C04990000,2025-04-10 16:27:13+00:00,4990.0,189.72,297.6,301.5,0.0,0.0,5.0,236,1.0100757504272457,True,REGULAR,USD
SPXW250411C05000000,2025-04-11 12:01:11+00:00,5000.0,295.0,286.7,292.1,9.709991,3.403551,40.0,1318,0.9825746371459961,True,REGULAR,USD
SPXW250411C05010000,2025-04-11 11:02:27+00:00,5010.0,299.55,278.7,282.6,26.179993,9.576761,9.0,91,0.9763796307373047,True,REGULAR,USD
SPXW250411C05020000,2025-04-11 11:02:27+00:00,5020.0,290.1,269.3,273.2,25.929993,9.815646,2.0,173,0.9596561651611326,True,REGULAR,USD
SPXW250411C05025000,2025-04-10 19:16:13+00:00,5025.0,260.83,263.3,268.6,0.0,0.0,20.0,400,0.9423223541259764,True,REGULAR,USD
SPXW250411C05030000,2025-04-10 17:15:21+00:00,5030.0,180.92,260.0,263.9,0.0,0.0,5.0,134,0.9439092523193358,True,REGULAR,USD
SPXW250411C05040000,2025-04-10 19:04:53+00:00,5040.0,278.0,250.7,254.7,0.0,0.0,8.0,85,0.928314925842285,True,REGULAR,USD
SPXW250411C05050000,2025-04-10 19:56:49+00:00,5050.0,243.37,241.5,245.5,0.0,0.0,67.0,803,0.9128731857299804,True,REGULAR,USD
SPXW250411C05060000,2025-04-10 20:14:30+00:00,5060.0,232.16,232.4,236.3,0.0,0.0,41.0,194,0.8974924801635741,True,REGULAR,USD
SPXW250411C05070000,2025-04-11 10:06:37+00:00,5070.0,240.5,223.4,227.3,19.240005,8.695655,4.0,337,0.8834545346069335,True,REGULAR,USD
SPXW250411C05075000,2025-04-10 19:56:02+00:00,5075.0,208.65,218.9,222.8,0.0,0.0,99.0,2627,0.8761609063720703,True,REGULAR,USD
SPXW250411C05080000,2025-04-10 18:46:56+00:00,5080.0,227.75,214.4,218.4,0.0,0.0,12.0,98,0.8693250372314454,True,REGULAR,USD
SPXW250411C05090000,2025-04-10 20:00:22+00:00,5090.0,190.3,205.6,209.5,0.0,0.0,18.0,128,0.8556838162231445,True,REGULAR,USD
SPXW250411C05100000,2025-04-11 05:30:11+00:00,5100.0,215.5,196.8,200.7,18.039993,9.1360235,1.0,3278,0.8418289743041992,True,REGULAR,USD
SPXW250411C05110000,2025-04-10 20:00:35+00:00,5110.0,177.8,186.8,192.1,0.0,0.0,69.0,205,0.821245073699951,True,REGULAR,USD
SPXW250411C05120000,2025-04-11 00:32:01+00:00,5120.0,137.0,178.3,183.6,-37.42,-21.45396,2.0,345,0.8093433372497558,True,REGULAR,USD
SPXW250411C05125000,2025-04-10 20:11:12+00:00,5125.0,181.24,174.1,179.4,0.0,0.0,67.0,1717,0.803590831298828,True,REGULAR,USD
SPXW250411C05130000,2025-04-10 19:58:24+00:00,5130.0,172.21,169.9,175.2,0.0,0.0,42.0,144,0.7975484112548827,True,REGULAR,USD
SPXW250411C05140000,2025-04-11 09:11:06+00:00,5140.0,134.6,161.6,166.9,-28.220001,-17.332022,2.0,602,0.7857992611694337,True,REGULAR,USD
SPXW250411C05150000,2025-04-11 05:30:11+00:00,5150.0,173.0,154.6,158.7,12.059998,7.493474,10.0,1367,0.7804739970397949,True,REGULAR,USD
SPXW250411C05160000,2025-04-11 08:27:00+00:00,5160.0,136.04,145.5,150.7,-10.800003,-7.354946,25.0,279,0.7637352728271485,True,REGULAR,USD
SPXW250411C05170000,2025-04-11 11:37:47+00:00,5170.0,138.6,137.6,142.9,10.300003,8.028061,18.0,301,0.7531762963867188,True,REGULAR,USD
SPXW250411C05175000,2025-04-11 09:47:58+00:00,5175.0,138.22,134.9,139.0,-3.2599945,-2.3042088,33.0,521,0.7537866418457031,True,REGULAR,USD
SPXW250411C05180000,2025-04-11 08:36:25+00:00,5180.0,106.1,131.0,135.1,-14.099998,-11.730449,19.0,486,0.7478815495300293,True,REGULAR,USD
SPXW250411C05185000,2025-04-11 02:16:14+00:00,5185.0,99.8,127.2,131.4,-33.12999,-24.922886,5.0,257,0.7431361135864257,True,REGULAR,USD
SPXW250411C05190000,2025-04-11 08:57:00+00:00,5190.0,101.83,123.5,127.6,-23.619995,-18.828215,49.0,358,0.7380549876403808,True,REGULAR,USD
SPXW250411C05195000,2025-04-11 09:27:24+00:00,5195.0,107.2,122.5,123.6,-21.199997,-16.510902,29.0,269,0.7448145635986327,True,REGULAR,USD
SPXW250411C05200000,2025-04-11 09:45:56+00:00,5200.0,120.2,117.1,118.2,1.1199951,0.9405401,234.0,3360,0.7229184202575683,True,REGULAR,USD
SPXW250411C05205000,2025-04-11 11:44:11+00:00,5205.0,111.6,113.0,114.1,-7.6800003,-6.438632,27.0,584,0.7134122897338868,True,REGULAR,USD
SPXW250411C05210000,2025-04-11 09:51:45+00:00,5210.0,115.2,112.1,113.2,-0.51000214,-0.4407589,31.0,245,0.7341335180664061,True,REGULAR,USD
SPXW250411C05215000,2025-04-11 11:35:23+00:00,5215.0,109.05,108.2,109.3,8.970001,8.962831,44.0,255,0.7256802334594726,True,REGULAR,USD
SPXW250411C05220000,2025-04-11 10:02:16+00:00,5220.0,117.0,102.3,103.4,10.099998,9.448081,28.0,633,0.6980315841674806,True,REGULAR,USD
SPXW250411C05225000,2025-04-11 12:02:52+00:00,5225.0,101.5,101.3,102.4,-6.800003,-6.2788577,95.0,752,0.7161283270263672,True,REGULAR,USD
SPXW250411C05230000,2025-04-11 10:20:46+00:00,5230.0,115.39,98.2,99.2,23.589996,25.69716,14.0,361,0.7135496174621583,True,REGULAR,USD
SPXW250411C05235000,2025-04-11 11:41:56+00:00,5235.0,91.5,94.9,95.9,-5.0199966,-5.200991,19.0,269,0.7091398715209961,True,REGULAR,USD
SPXW250411C05240000,2025-04-11 11:51:47+00:00,5240.0,80.3,89.8,90.8,-13.82,-14.683382,40.0,1024,0.6877167459106447,True,REGULAR,USD
SPXW250411C05245000,2025-04-11 11:57:39+00:00,5245.0,93.73,88.4,89.4,7.4400024,8.622091,11.0,259,0.6999541723632813,True,REGULAR,USD
SPXW250411C05250000,2025-04-11 12:02:52+00:00,5250.0,85.23,84.3,85.2,-2.6399994,-3.0044377,91.0,2645,0.6864655377197266,True,REGULAR,USD
SPXW250411C05255000,2025-04-11 11:50:29+00:00,5255.0,72.5,82.2,83.2,-9.669998,-11.768283,37.0,186,0.6917297673034668,True,REGULAR,USD
SPXW250411C05260000,2025-04-11 11:50:29+00:00,5260.0,69.7,77.4,78.4,-13.420006,-16.145338,57.0,504,0.6714662980651855,True,REGULAR,USD
SPXW250411C05265000,2025-04-11 11:05:35+00:00,5265.0,89.99,74.5,75.5,8.43,10.335949,39.0,340,0.6680483634948731,True,REGULAR,USD
SPXW250411C05270000,2025-04-11 11:37:47+00:00,5270.0,71.76,71.6,72.6,-6.4799957,-8.282204,47.0,900,0.6641574111938479,False,REGULAR,USD
SPXW250411C05275000,2025-04-11 12:02:52+00:00,5275.0,70.31,69.7,70.5,-5.080002,-6.7382965,114.0,993,0.6679415530395509,False,REGULAR,USD
SPXW250411C05280000,2025-04-11 11:28:55+00:00,5280.0,71.0,67.5,68.4,1.8700027,2.7050526,66.0,225,0.6698793998718262,False,REGULAR,USD
SPXW250411C05285000,2025-04-11 09:36:53+00:00,5285.0,62.1,64.9,65.7,-4.1200027,-6.221689,33.0,274,0.6667818966674807,False,REGULAR,USD
SPXW250411C05290000,2025-04-11 11:42:38+00:00,5290.0,58.9,62.2,63.0,-7.2299957,-10.933004,54.0,390,0.6627230993652344,False,REGULAR,USD
SPXW250411C05295000,2025-04-11 11:51:55+00:00,5295.0,51.0,59.5,60.3,-10.0,-16.393442,101.0,818,0.658130249786377,False,REGULAR,USD
SPXW250411C05300000,2025-04-11 11:58:03+00:00,5300.0,60.3,55.3,56.2,-1.4300003,-2.3165402,408.0,3880,0.6396672996520996,False,REGULAR,USD
SPXW250411C05305000,2025-04-11 11:58:01+00:00,5305.0,58.2,53.2,54.0,1.0100021,1.7660468,120.0,427,0.6390416955566407,False,REGULAR,USD
SPXW250411C05310000,2025-04-11 11:56:38+00:00,5310.0,53.58,50.5,51.3,-2.9099998,-5.151354,32.0,532,0.6327551373291016,False,REGULAR,USD
SPXW250411C05315000,2025-04-11 11:56:37+00:00,5315.0,51.6,48.5,49.2,-2.3700027,-4.3913336,64.0,340,0.6319769468688965,False,REGULAR,USD
SPXW250411C05320000,2025-04-11 11:46:22+00:00,5320.0,45.4,47.4,48.2,-3.5999985,-7.3469357,121.0,540,0.6401250587463378,False,REGULAR,USD
SPXW250411C05325000,2025-04-11 11:56:33+00:00,5325.0,49.0,45.2,45.9,1.4000015,2.9411798,46.0,856,0.6364629859924318,False,REGULAR,USD
SPXW250411C05330000,2025-04-11 12:02:11+00:00,5330.0,43.8,42.0,42.6,-2.4000015,-5.1948085,52.0,542,0.6225928854370117,False,REGULAR,USD
SPXW250411C05335000,2025-04-11 11:59:40+00:00,5335.0,42.7,41.0,41.7,-1.3899994,-3.1526408,34.0,203,0.6303137554931642,False,REGULAR,USD
SPXW250411C05340000,2025-04-11 11:56:37+00:00,5340.0,40.6,38.1,38.8,-0.30000305,-0.73350376,65.0,1495,0.6184730535888674,False,REGULAR,USD
SPXW250411C05345000,2025-04-11 11:57:39+00:00,5345.0,40.32,37.1,37.7,0.3199997,0.79999924,598.0,927,0.6242865940856934,False,REGULAR,USD
SPXW250411C05350000,2025-04-11 11:58:04+00:00,5350.0,37.5,34.2,34.8,-0.29999924,-0.7936488,610.0,2361,0.6110268389892579,False,REGULAR,USD
SPXW250411C05355000,2025-04-11 11:56:44+00:00,5355.0,33.5,32.4,33.0,-1.1199989,-3.2351213,39.0,575,0.6081276980590821,False,REGULAR,USD
SPXW250411C05360000,2025-04-11 11:13:53+00:00,5360.0,39.0,30.7,31.3,7.7800007,24.919926,62.0,1663,0.60567105758667,False,REGULAR,USD
SPXW250411C05365000,2025-04-11 11:16:00+00:00,5365.0,33.9,30.0,30.5,1.8700027,5.8382854,50.0,516,0.6126900303649903,False,REGULAR,USD
SPXW250411C05370000,2025-04-11 11:53:00+00:00,5370.0,25.0,27.3,27.8,-4.09,-14.059814,192.0,763,0.5983316534423828,False,REGULAR,USD
SPXW250411C05375000,2025-04-11 11:28:13+00:00,5375.0,28.6,26.8,27.3,1.460001,5.379517,190.0,939,0.6071816625976563,False,REGULAR,USD
SPXW250411C05380000,2025-04-11 12:00:04+00:00,5380.0,27.5,25.3,25.8,0.29999924,1.1029383,56.0,616,0.6045876943969729,False,REGULAR,USD
SPXW250411C05385000,2025-04-11 11:52:03+00:00,5385.0,20.3,23.2,23.6,-5.17,-20.298391,26.0,520,0.5938761315917969,False,REGULAR,USD
SPXW250411C05390000,2025-04-11 12:01:39+00:00,5390.0,23.8,22.6,23.0,0.5,2.145923,169.0,548,0.6003763107299805,False,REGULAR,USD
SPXW250411C05395000,2025-04-11 11:18:01+00:00,5395.0,23.6,20.7,21.1,0.97999954,4.332447,130.0,1681,0.5909769906616212,False,REGULAR,USD
SPXW250411C05400000,2025-04-11 12:00:27+00:00,5400.0,21.5,19.4,19.8,-0.12999916,-0.60101324,664.0,6887,0.5880015565490724,False,REGULAR,USD
SPXW250411C05405000,2025-04-11 11:56:25+00:00,5405.0,20.2,18.1,18.6,-0.1099987,-0.54159874,75.0,3039,0.584965087890625,False,REGULAR,USD
SPXW250411C05410000,2025-04-11 11:56:36+00:00,5410.0,18.9,17.8,18.2,0.7799988,4.304629,94.0,573,0.5929300961303713,False,REGULAR,USD
SPXW250411C05415000,2025-04-11 11:57:15+00:00,5415.0,18.0,16.8,17.1,0.13999939,0.7838711,95.0,494,0.5914347497558594,False,REGULAR,USD
SPXW250411C05420000,2025-04-11 11:57:39+00:00,5420.0,17.51,15.3,15.6,1.54,9.643081,97.0,1400,0.5831035342407226,False,REGULAR,USD
SPXW250411C05425000,2025-04-11 11:57:29+00:00,5425.0,16.1,14.3,14.7,0.37000084,2.3521986,167.0,2000,0.5815471533203125,False,REGULAR,USD
SPXW250411C05430000,2025-04-11 11:56:17+00:00,5430.0,14.4,13.5,13.9,0.29999924,2.127654,157.0,822,0.5815471533203125,False,REGULAR,USD
SPXW250411C05435000,2025-04-11 10:55:03+00:00,5435.0,19.0,12.7,13.0,6.0,46.153847,65.0,563,0.5802349105834962,False,REGULAR,USD
SPXW250411C05440000,2025-04-11 11:56:29+00:00,5440.0,13.5,11.9,12.3,1.1999998,9.756096,208.0,603,0.5798381860351562,False,REGULAR,USD
SPXW250411C05445000,2025-04-11 11:19:32+00:00,5445.0,12.6,11.4,11.7,1.4000006,12.500006,101.0,429,0.5821269815063476,False,REGULAR,USD
SPXW250411C05450000,2025-04-11 12:01:59+00:00,5450.0,11.6,10.6,10.9,0.2300005,2.0228715,841.0,4153,0.5798381860351562,False,REGULAR,USD
SPXW250411C05455000,2025-04-11 11:57:16+00:00,5455.0,11.1,10.0,10.3,0.4800005,4.5197787,112.0,674,0.5802959451293946,False,REGULAR,USD
SPXW250411C05460000,2025-04-11 11:53:32+00:00,5460.0,8.9,9.4,9.7,-0.35000038,-3.783788,150.0,486,0.5802349105834962,False,REGULAR,USD
SPXW250411C05465000,2025-04-11 12:02:06+00:00,5465.0,9.5,8.8,9.1,3.3000002,53.225815,246.0,350,0.5796245651245118,False,REGULAR,USD
