contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250411P01400000,2025-04-09 13:35:58+00:00,1400.0,0.05,0.0,0.0,0.0,0.0,20,188,0.500005,False,REGULAR,USD
SPXW250411P01600000,2025-04-07 13:31:25+00:00,1600.0,0.15,0.0,0.0,0.0,0.0,233,616,0.500005,False,REGULAR,USD
SPXW250411P01800000,2025-04-08 17:36:48+00:00,1800.0,0.05,0.0,0.0,0.0,0.0,1,51,0.500005,False,REGULAR,USD
SPXW250411P02000000,2025-04-09 14:18:02+00:00,2000.0,0.05,0.0,0.0,0.0,0.0,1,183,0.500005,False,REGULAR,USD
SPXW250411P02200000,2025-04-08 19:27:15+00:00,2200.0,0.05,0.0,0.0,0.0,0.0,2,1086,0.500005,False,REGULAR,USD
SPXW250411P02400000,2025-04-09 13:38:15+00:00,2400.0,0.05,0.0,0.0,0.0,0.0,16,5189,0.500005,False,REGULAR,USD
SPXW250411P02600000,2025-04-11 08:03:02+00:00,2600.0,0.1,0.0,0.0,0.05,100.0,1,1200,0.500005,False,REGULAR,USD
SPXW250411P02800000,2025-04-09 19:18:14+00:00,2800.0,0.05,0.0,0.0,0.0,0.0,25,1461,0.500005,False,REGULAR,USD
SPXW250411P03000000,2025-04-10 17:16:58+00:00,3000.0,0.05,0.0,0.0,0.0,0.0,6,4149,0.500005,False,REGULAR,USD
SPXW250411P03200000,2025-04-10 17:25:34+00:00,3200.0,0.05,0.0,0.0,0.0,0.0,513,4444,0.500005,False,REGULAR,USD
SPXW250411P03400000,2025-04-10 18:25:23+00:00,3400.0,0.03,0.0,0.0,0.0,0.0,953,3640,0.500005,False,REGULAR,USD
SPXW250411P03600000,2025-04-10 19:57:15+00:00,3600.0,0.03,0.0,0.0,0.0,0.0,3844,6330,0.500005,False,REGULAR,USD
SPXW250411P03800000,2025-04-11 07:50:53+00:00,3800.0,0.1,0.0,0.0,0.05,100.0,7,9733,0.500005,False,REGULAR,USD
SPXW250411P04000000,2025-04-10 20:06:32+00:00,4000.0,0.04,0.0,0.0,0.0,0.0,4747,8115,0.500005,False,REGULAR,USD
SPXW250411P04100000,2025-04-11 07:50:52+00:00,4100.0,0.05,0.0,0.05,0.0,0.0,37,6058,1.3906280468749999,False,REGULAR,USD
SPXW250411P04200000,2025-04-11 08:25:51+00:00,4200.0,0.05,0.0,0.0,-0.05,-50.0,63,17703,0.500005,False,REGULAR,USD
SPXW250411P04300000,2025-04-11 11:55:28+00:00,4300.0,0.05,0.0,0.05,-0.11,-68.75,7210,14402,1.140629296875,False,REGULAR,USD
SPXW250411P04350000,2025-04-11 09:01:00+00:00,4350.0,0.05,0.0,0.0,-0.05,-50.0,3009,8021,0.500005,False,REGULAR,USD
